Região;UF;Superfície;População;Densidade
Norte;RO;237576,17;1453756;6,12
Norte;AC;164165,25;653385;3,98
Norte;AM;1559161,81;3221940;2,07
Norte;RR;224298,98;395725;1,76
Norte;PA;1247689,52;7065573;5,66
Norte;AP;142814,59;587311;4,11
Norte;TO;277620,91;1243627;4,48
Nordeste;MA;331983,29;6118995;18,43
Nordeste;PI;251529,19;3032435;12,06
Nordeste;CE;148825,6;8185250;55
Nordeste;RN;52796,79;3013740;57,08
Nordeste;PB;56439,84;3641397;64,52
Nordeste;PE;98311,62;8486638;86,32
Nordeste;AL;27767,66;3037231;109,38
Nordeste;SE;21910,35;1939426;88,52
Nordeste;BA;564692,67;14080670;24,94
Sudeste;MG;586528,29;19273533;32,86
Sudeste;ES;46077,52;3351669;72,74
Sudeste;RJ;43696,05;15420450;352,9
Sudeste;SP;248209,43;39827690;160,46
Sul;PR;199314,85;10284503;51,6
Sul;SC;95346,18;5866487;61,53
Sul;RS;281748,58;10582287;37,56
Centro-Oeste;MS;357124,96;2265813;6,34
Centro-Oeste;MT;903357,91;2854642;3,16
Centro-Oeste;GO;340086,7;5647035;16,6
Centro-Oeste;DF;5801,94;2455903;423,29
